,carat,cut,color,clarity,depth,table,price,x_x,y,z_x,table_type,carat_scale,depth_type,diamonds_type,heart lenght,Potential Client
0,1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,Excellent,1-1.25,Very good,other,,Common
1,0.32,Very Good,H,VS2,63.0,57.0,505,4.35,4.38,2.75,Excellent,0.25-0.50,Very good,other,,Tiffanys
2,0.71,Fair,G,VS1,65.5,55.0,2686,5.62,5.53,3.65,Excellent,0.50-0.75,Upper outlier,other,,Tiffanys
3,0.41,Good,D,SI1,63.8,56.0,738,4.68,4.72,3.0,Excellent,0.25-0.50,Very good,other,,Common
4,1.02,Ideal,G,SI1,60.5,59.0,4882,6.55,6.51,3.95,Very good,1-1.25,Excellent,other,,Common
5,1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54,Excellent,1.50-1.75,Excellent,other,,Common
6,1.01,Fair,H,VS2,65.2,56.0,3733,6.23,6.19,4.05,Excellent,1-1.25,Upper outlier,other,,Tiffanys
7,1.52,Ideal,J,VS1,62.3,58.0,8608,7.32,7.35,4.57,Excellent,1.50-1.75,Excellent,other,,Common
8,0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,Excellent,0.25-0.50,Excellent,other,,Tiffanys
9,1.14,Ideal,G,SI1,61.7,56.0,6741,6.71,6.75,4.15,Excellent,1-1.25,Excellent,other,,Common
10,0.44,Premium,E,SI1,62.3,59.0,1040,4.88,4.84,3.03,Very good,0.25-0.50,Excellent,other,,Common
11,1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9,Excellent,1-1.25,Very good,other,,Common
12,0.93,Ideal,I,SI2,62.3,57.0,3101,6.2,6.22,3.87,Excellent,0.75-1,Excellent,other,,Common
13,1.51,Premium,G,VS1,60.1,58.0,14507,7.48,7.45,4.49,Excellent,1.50-1.75,Excellent,other,,Tiffanys
14,1.65,Ideal,H,SI2,61.6,55.0,10349,7.58,7.62,4.68,Excellent,1.50-1.75,Excellent,other,,Common
15,1.5,Good,G,SI2,57.5,63.0,6006,7.53,7.49,4.32,Upper outlier,1.25-1.50,Lower outlier,other,7.5 ,Common
16,0.43,Ideal,D,VS1,62.1,56.0,1207,4.85,4.87,3.02,Excellent,0.25-0.50,Excellent,other,,Tiffanys
17,0.38,Premium,G,VS2,60.8,61.0,983,4.66,4.65,2.83,Upper outlier,0.25-0.50,Excellent,other,4.75 ,Common
18,0.85,Ideal,I,VS1,61.9,56.0,3548,6.08,6.1,3.77,Excellent,0.75-1,Excellent,other,,Tiffanys
19,1.53,Premium,D,SI2,60.7,60.0,11078,7.45,7.41,4.51,Very good,1.50-1.75,Excellent,other,,Common
20,1.54,Premium,H,VS2,61.0,60.0,11177,7.46,7.42,4.54,Very good,1.50-1.75,Excellent,other,,Tiffanys
21,0.71,Premium,G,SI2,62.0,59.0,1740,5.69,5.65,3.52,Very good,0.50-0.75,Excellent,other,,Common
22,0.3,Very Good,G,VS1,61.7,56.0,605,4.29,4.33,2.66,Excellent,0.25-0.50,Excellent,other,,Tiffanys
23,1.3,Ideal,G,IF,61.3,56.0,12932,7.03,7.06,4.32,Excellent,1.25-1.50,Excellent,other,,Cartier
